row_number(),Sites of Use,Crop_Name
3041,SPRING WHEAT HARD RED SPRING,WHEAT
3042,SPRING WHEAT SOFT WHITE SPRING,WHEAT
3043,ESTABLISHED ALFALFA FOR FORAGE AND HAY,
3044,CRESTED WHEAT GRASS (ESTABLISHED),WHEAT
3045,CRESTED WHEAT GRASS (SEEDLING),WHEAT
3046,HYBRID BROME GRASS (ESTABLISHED),
3047,HYBRID BROME GRASS (SEEDLING),
3048,INTERMEDIATE WHEAT GRASS (ESTABLISHED),WHEAT
3049,INTERMEDIATE WHEAT GRASS (SEEDLING),WHEAT
3050,MEADOW BROME GRASS (ESTABLISHED),
3051,MEADOW BROME GRASS (SEEDLING),
3052,SLENDER WHEAT GRASS (SEEDLING),WHEAT
3053,SLENDER WHEAT GRASS ESTABLISHED,WHEAT
3054,SMOOTH BROME GRASS (ESTABLISHED),
3055,SMOOTH BROME GRASS (SEEDLING),
3056,SLENDER WHEAT GRASS (ESTABLISHED),WHEAT
3057,BLUE SPRUCE,
3058,CHAMAECYPARIS,
3059,CONIFER PLANTING,
3060,FIR SEEDLINGS,
3061,FLOWERING CRABAPPLE,
3062,LOWBUSH BLUEBERRES,
3063,MUGHO PINE,
3064,MULTIFLORA ROSE,
3065,NURSERY CONTAINER STOCK,
3066,NURSERY STOCK,
3067,PINE SEEDLINGS,
3068,RED SPRUCE,
3069,WHITE ASH,
3070,WOODLAND PLANTATIONS,
3071,YEWS,
3072,HIGHBUSH BLUBERRIES,
3073,TOMATOES (FRESH MARKET FIELD),
3074,CELERY (TRANSPLANTS),
3075,CANOLA (INCLUDING JUNCEA AND POLISH CANOLA),CANOLA
3076,MUSTARD (INCLUDING ABYSSINIAN,
3077, BROWN AND YELLOW MUSTARD),
3078,BROCCOLI DIRECT SEEDED OR TRANSPLANTED GROWN ON MINERAL SOILS,
3079,CABBAGE DIRECT SEEDED OR TRANSPLANTED GROWN ON MINERAL SOILS,
3080,CAULIFLOWER DIRECT SEEDED OR TRANSPLANTED GROWN ON MINERAL SOILS,
3081,CELERY IN MINERAL SOIL,
3082,CELERY IN MUCK SOIL,
3083, TART,
3084,CONIFERS FOR FIELD PRODUCTION,
3085,DRY BULB SHALLOTS ON MUCK SOIL,
3086,DRY COMMON BEANS (PHASEOLUS VULGARIS ONLY),
3087,FIELD TOMATOES GROWN ON MINERAL SOILS,
3088,GARLIC ON MUCK SOIL,
3089,LEEKS ON MUCK SOILS,
3090, CHICKASAW,
3091, DAMSON,
3092, JAPANESE,
3093, PRUNE,
3094,PLUMCOT,
3095,ESTABLISHED MEADOW BROMEGRASS (FORAGE OR SEED PRODUCTION),
3096,ESTABLISHED TALL FESCUE (FORAGE OR SEED PRODUCTION),
3097,PERENNIAL RYEGRASS (ESTABLISHED),
3098,PERENNIAL RYEGRASS (SEEDLING),
3099,SEEDLING MEADOW BROMEGRASS (FORAGE OR SEED PRODUCTION),
3100,SEEDLING TALL FESCUE (FORAGE OR SEED PRODUCTION),
3101,MEADOW BROMEGRASS (SEEDLING AND ESTABLISHED) GROWN FOR FORAGE OR SEED PRODUCTION,
3102,RED TABLE BEETS,
3103,CROP GROUP 20A: OILSEEDS,
3104, RAPESEED SUBGROUP,
3105,CROP GROUP 6: LEGUME VEGETABLE (SUCCULENT OR DRIED),
3106,DWARF PEA,
3107,EDIBLEPOD PEA,PEAS
3108,ENGLISH PEA,PEAS
3109,GARDEN PEA,PEAS
3110,"GREEN PEA	",PEAS
3111,PEA (PISUM SPP.),PEAS
3112,PHASEOLUS SPP.,
3113,SNOW PEA,PEAS
3114,SUGAR SNAP PEA,PEAS
3115,VIGNA SPP. INCLUDES ADZUKI BEAN,
3116, ASPARAGUS BEAN,
3117, URD BEAN,
3118,WAX BEAN,
3119,BULB ONION (SEEDED),
3120,SPEARMINT,
3121,TRANSPLANTED LEEK,
3122,ALFALFA (SEED PRODUCTION),
3123,ALSIKE CLOVER (SEED PRODUCTION),
3124,BROMEGRASS (SEED PRODUCTION),
3125,CRESTED WHEATGRASS (SEED PRODUCTION),WHEAT
3126,MEADOW FOXTAIL (SEED PRODUCTION),
3127,ORCHARDGRASS (SEED PRODUCTION),
3128,RED CLOVER (SEED PRODUCTION),
3129,SAINFOIN (SEED PRODUCTION),
3130,SWEET CLOVER (SEED PRODUCTION),
3131,ANNUAL BLUEGRASS (POA ANNUA),
3132,COLONIAL BENTGRASS,
3133,CREEPING BENTGRASS,
3134,GLYPHOSATE TOLERANT SUGAR BEETS,
3135,ROUNDUP READY ALFALFA VARIETIES,
3136,ROUNDUP READY2 YIELD® SOYBEAN VARIETIES,
3137,ROUNDUP READY® CORN 2 VARIETIES,CORN
3138,SWEET CORN VARIETIES CONTAINING ROUNDUP READY 2 TECHNOLOGY,CORN
3139,TRUFLEX ROUNDUP READY® CANOLA,CANOLA
3140,TRUFLEX ROUNDUP READY® CANOLA SEED PRODUCTION,CANOLA
3141,PATHWAYS,
3142,OUTDOORS,
3143,IMAZETHAPYR TOLERANT CANOLA (CANOLA VARIETIES WITH THE SMART? TRAIT),CANOLA
3144,ESTABLISHED CLOVER (ALSIKE) FOR SEED PRODUCTION ONLY,
3145,ESTABLISHED CLOVER (RED) FOR SEED PRODUCTION ONLY,
3146,SEEDLING CLOVER (ALSIKE) FOR SEED PRODUCTION ONLY,
3147,SEEDLING CLOVER (RED) FOR SEED PRODUCTION ONLY,
3148,SEEDLING SAINFOIN (FOR SEED PRODUCTION ONLY),
3149,DRY EDIBLE BEANS,
3150,DRY SHELLED PEAS,PEAS
3151,GLYPHOSATE TOLERANT SOYBEAN VARIETIES,
3152,PERENNIALSTRAWBERRIES,
3153,SUCCULENT PEAS (EDIBLE-PODDED),PEAS
3154,SUCCULENT PEAS (SHELLED),PEAS
3155,"BLACKEYED PEA	",
3156,"CATJANG		",
3157,INTER-ROW DIRECTED WEEDING,
3158,KIDNEY BEAN (WHITE),
3159,LABLAB BEAN,
3160,"MUNG BEAN	",
3161,"RICE BEAN	",
3162,"SOUTHERN PEA	",
3163,"URD BEAN	",
3164,WHITE  LUPIN,
3165,ALSIKE CLOVER SEED,
3166,ALSIKE CLOVER SEED CROPS,
3167,KIDNEY BEAN (RED),
3168,FOREST,
3169,FOREST MANAGEMENT AREAS (GREATER THAN 500 HECTARES),
3170,FOREST ROADSIDE,
3171,WOODLAND MANAGEMENT SITES (500 HECTARES OR LESS),
3172,PASTURE AREAS,
3173,CANTALOUPE,
3174,CASABA,
3175,CHILI PEPPER,
3176,CRENSHAW MELON,
3177,GOLDEN PERSHAW MELON,
3178,HONEY BALLS,
3179,HONEYDEW MELON,
3180,MANGO MELON,
3181,MOMORDICA SPP. (INCLUDES BITTER MELON,
3182,MUSKMELON,
3183,ORIENTAL RADISH,
3184,PEPINO,
3185,PEPPER,
3186,PERSIAN MELON,
3187,PIMENTO,
3188,PINEAPPLE MELON,
3189,R,
3190,CANALS,
3191,CANALS (1.5 M OF WATER OR LESS),
3192,CANALS (MORE THAN 1.5 M OF WATER),
3193,FARM DITCHES,
3194,FARM DITCHES (1.5 M OF WATER OR LESS),
3195,FARM DITCHES (MORE THAN 1.5 M OF WATER),
3196,FARM DUGOUTS,
3197,FARM DUGOUTS (1.5 M OF WATER OR LESS),
3198,FARM DUGOUTS (MORE THAN 1.5 M OF WATER),
3199,FARM PONDS,
3200,FARM PONDS (1.5 M OF WATER OR LESS),
3201,FARM PONDS (MORE THAN 1.5 M OF WATER),
3202,LAKES,
3203,LAKES (1.5 M OF WATER OR LESS),
3204,LAKES (MORE THAN 1.5 M OF WATER),
3205,STREAMS,
3206,STREAMS (1.5 M OF WATER OR LESS),
3207,STREAMS (MORE THAN 1.5 M OF WATER),
3208,AMERICAN ELM,
3209,DUTCH WHITE STUBBLE TURNIP,
3210,ORNAMENTALS: ESTABLISHED WOODY NURSERY STOCK,
3211,ORNAMENTALS: TRANSPLANTS OF WOODY NURSERY STOCK AND PERENNIALS,
3212,SCOTCH PINE,
3213,SIBERIAN ELM,
3214,TOMATO,
3215,TRIAZINE TOLERANT CANOLA (RAPESEED),CANOLA
3216,ADJACENT TERRESTRIAL HABITATS COASTAL WETLAND AREAS OF LONG POINT BAY AREA,
3217, ONTARIO,
3218,AQUATIC SITES COASTAL WETLAND AREAS LONG POINT BAY AREA,
3219,AQUATIC SITES COASTAL WETLAND AREAS OF LONG POINT BAY AREA,
3220,WETLANDS COASTAL WETLAND AREAS OF LONG POINT BAY AREA,
3221,CROPLAND,
3222,ROUNDUP READY 2 TM XTEND SOYBEANS,
3223,SWEET CORN VARIETIES WITH ROUNDUP READY 2 TECHNOLOGY,CORN
3224,ARTILLERY IMPACT ZONES ON MILITARY BASES,
3225,PUBLIC AREA,
3226,CORN VARIETIES WITH ROUNDUP READY 2 TECHNOLOGY,CORN
3227,CORN HYBRIDS WITH ROUNDUP READY 2 TECHNOLOGY,CORN
3228,SPRING WHEAT (INCL. HARD RED SPRING,WHEAT
3229, CANADA PRAIRIE SPRING,
3230, SOFT WHITE SPRING AND EXTRA STRONG (UTILITY) WHEAT),WHEAT
3231,BARLEY SPRING,BARLEY
3232,GOLF COURSES (ROUGHS / FAIRWAYS),
3233,NON-CROP/NON-GRAZED LAND,
3234,PASTURES ESTABLISHED,
3235,RANGELAND ESTABLISHED,
3236,RYE SPRING,
3237,SEEDLING GRASS CROPS-STAND ESTABLISHMENT,
3238,WHEAT (INCLUDING DURUM),WHEAT
3239,EASTERN WHITE-CEDAR JUNIPERUS SPP.,
3240,HARICOTS CANNEBERGE,
3241,JUNIPER THUJA SPP.,
3242,MUSTARD GREENS TRANSPLANTED ONLY,
3243,STUCCO,
3244,WALKS,
3245,WOODWORK,
3246,GARDEN,
3247,POWER SUBSTATIONS,
3248,SHADE TREES,
3249,CANOLA ARGENTINE VARIETIES,CANOLA
3250,CANOLA POLISH VARIETIES,CANOLA
3251,BANANA PEPPERS,
3252,CANTALOUPES,
3253,CHILE PEPPERS,
3254,CRENSHAW MELONS,
3255,CUCUMBERS (INCLUDING PICKLES),
3256,HIGHBUSH BLUEBERRIES (1-4 YEAR BUSHES),
3257,HIGHBUSH BLUEBERRIES (>4 YEAR BUSHES),
3258,HONEYDEWS,
3259,OKRA,
3260,SUCCULENT SNAP BEANS,
3261,SUMMER SQUASH FOR PROCESSING,
3262,TOMATILLO,
3263,TREE NUTS (BEECHNUTS),
3264,TREE NUTS (BUTTERNUTS),
3265,TREE NUTS (CHESTNUTS),
3266,TREE NUTS (HICKORY NUTS),
3267,TREE NUTS (PECANS),
3268,TREE NUTS (WALNUTS (BLACK AND ENGLISH)),
3269,TREE NUTS FILBERTS (HAZELNUTS),
3270,WATERMELON,
3271,SOYBEANS (CONVENTIONAL OR GLYPHOSATE TOLERANT),
3272,SOYBEANS CONVENTIONAL OR GLYPHOSATE TOLERANT,
3273,CONTAINER GROWN ORNAMENTAL PRODUCTION NURSERIES,
3274,FUEL STORAGE AREAS,
3275,ORNAMENTALS (AMERICAN ARBOVITAE - THUJA OCCIDENTALIS),
3276,ORNAMENTALS (AUSTRIAN PINE - PINUS NIGRA),
3277,ORNAMENTALS (AZALEA - RHODODENDRON SPP.),
3278,ORNAMENTALS (BUMALD SPIREA - SPIRAEA X BUMALDA),
3279,ORNAMENTALS (CHINESE JUNIPER - JUNIPERUS CHINENSIS),
3280,ORNAMENTALS (CRAPE MYRTLE - LAGERSTROEMIA INDICA),
3281,ORNAMENTALS (CREEPING JUNIPER - JUNIPERUS HORIZONTALIS),
3282,ORNAMENTALS (DWARF BUFORD HOLLY - ILEX CORNUTA),
3283,ORNAMENTALS (DWARF YAUPON HOLLY - ILEX VOMITORIA),
3284,ORNAMENTALS (FORMOSA AZALEA - RHODODENDRON SIMSII),
3285,ORNAMENTALS (GARDENIA - GARDENIA AUGUSTA),
3286,ORNAMENTALS (HOLLY OAK - QUERCUS ILEX),
3287,ORNAMENTALS (JAPANESE BOXWOOD - BUXUS MICROPHYLLA JAPONICA),
3288,ORNAMENTALS (JAPANESE HOLLY - ILEX CRENATA),
3289,ORNAMENTALS (JAPANESE SPIREA - SPIRAEA JAPONICA),
3290,ORNAMENTALS (KOREAN BOXWOOD - BUXUS MICROPHYLLA KOREANA),
3291,ORNAMENTALS (KURUME AZALEA - RHODODENDRON X KURUME),
3292,ORNAMENTALS (LOBLOLLY PINE - PINUS TAEDA),
3293,ORNAMENTALS (MESERVE HOLLY - ILEX X MESERVEAE),
3294,ORNAMENTALS (NORTHERN RED OAK - QUERCUS RUBRA),
3295,ORNAMENTALS (PANICLED HYDRANGEA - HYDRANGEA PANICULATA),
3296,ORNAMENTALS (RED PINE - PINUS RESINOSA),
3297,ORNAMENTALS (RHODODENDRON - RHODODENDRON CATAWBIENSE),
3298,ORNAMENTALS (ROUND LEAF HOLLY - ILEX ROTUNDA),
3299,ORNAMENTALS (SHORE JUNIPER - JUNIPERUS CONFERTA),
3300,ORNAMENTALS (SOUTHERN LIVE OAK - QUERCUS VIRGINIANA),
3301,ORNAMENTALS (SOUTHERN MAGNOLIA - MAGNOLIA GRANDIFLORA),
3302,ORNAMENTALS (STAR MAGNOLIA - MAGNOLIA STELLATA),
3303,ORNAMENTALS (WHITE LACE SPIREA - SPIRAEA DECUMBENS),
3304,ORNAMENTALS (WHITE PINE - PINUS STROBUS),
3305,ORNAMENTALS (WINTERBERRY HOLLY - ILEX VERTICILLATA),
3306,ORNAMENTALS (WINTERCREEPER EUONYMUS - EUONYMUS FORTUNEI VAR. RADICANS),
3307,ORNAMENTALS (YELLOW ANISE - ILLICIUM PARVIFLORUM),
3308,RENOVATED AREAS,
3309,RENOVATION TREATMENTS,
3310,RIGHT OF WAY,
3311,TURFGRASS (BENTGRASS,
3312, CREEPING - AGROSTIS STOLONIFERA),
3313,TURFGRASS (BLUEGRASS,
3314, KENTUCKY - POA PRATENSIS),
3315,TURFGRASS (FESCUE,
3316, TALL - FESTUCA ARUNDINACEA),
3317,TURFGRASS (RYEGRASS,
3318, PERENNIAL - LOLIUM PERENNE),
3319,T,
3320,BRASSICA JUNCEA (ORIENTAL / BROWN MUSTARD (CONDIMENT AND OILSEED TYPES)),
3321,DRIED SHELLED PEA AND BEAN (CROP SUBGROUP 6C) (EXCEPT DRY PEA,PEAS
3322, SOYBEAN),
3323,DRY PEA,PEAS
3324,EDAMAME AND EDIBLE-PODDED LEGUME VEGETABLES (CROP SUBGROUP 6A),
3325,SUCCULENT SHELLED PEA AND BEAN (CROP SUBGROUP 6B),PEAS
3326, BEECH NUT,
3327, BUR OAK,
3328, CHESTNUT,
3329, CHINQUAPIN,
3330, GINKGO,
3331, HAZELNUT (FILBERT),
3332, HEARTNUT,
3333, HICKORY NUT,
3334, JAPANESE HORSE-CHESTNUT,
3335, PECAN,
3336, PINE NUT AND WALNUT (BLACK AND ENGLISH),
3337, AND CULTIVARS,
3338, VARIETIES,
3339, AND/OR HYBRIDS OF THESE.,
3340, BUSH TOMATO,
3341, CURRANT TOMATO,
3342, EGGPLANT,
3343, GARDEN HUCKLEBERRY,
3344, GOJI BERRY,
3345, GROUNDCHERRY,
3346, MARTYNIA,
3347, OKRA,
3348, PEA EGGPLANT,
3349, PEPINO,
3350, PEPPER (BELL AND NON-BELL),
3351, SCARLETT EGGPLANT,
3352, SUNBERRY,
3353, TOMATILLO,
3354, TOMATO,
3355, VARIETIES AND/OR HYBRIDS OF THESE.,
3356,AMARANTH,
3357, ARUGULA,
3358, ASTER,
3359, BLACKJACK,
3360, BROCCOLI RAAB,
3361, BROCCOLI,
3362, CABBAGE,
3363, CATS WHISKERS,
3364, CHAM-CHWI,
3365, CHAMNA-MUI,
3366, CHINESE CABBAGE,
3367, CHIPILIN,
3368, CHRYSANTHEMUM,
3369, CILANTRO,
3370, COLLARDS,
3371, CORN SALAD,CORN
3372, COSMOS,
3373, CRESS,
3374, DANDELION,
3375, DANG-GWI,
3376, DILLWEED,
3377, DOCK,
3378, DOL-NAM-MUL,
3379, EBOLO,
3380, ENDIVE,
3381, ESCAROLE,
3382, FAMEFLOWER,
3383, FEATHER COCKSCOMB,
3384, GOOD KING HENRY,
3385, HANOVER SALAD,
3386, HUAUZONTLE,
3387, JUTE LEAVES,
3388, KALE,
3389, LETTUCE,
3390, MACA,
3391, MIZUNA,
3392, MUSTARD GREENS,
3393, ORACH,
3394, PARSLEY,
3395, PLANTAIN,
3396, PRIMROSE,
3397, PURSLANE (GARDEN),
3398, RADICCHIO,
3399, RAPE GREENS,
3400, ROCKET,
3401, SHEPHERDS PURSE,
3402, SWISS CHARD,
3403, TANIER SPINACH,
3404, TURNIP GREENS,
3405, VIOLET,
3406, WATERCRESS AND CULTIVARS,
3407, ARONIA BERRY,
3408, BAYBERRY,
3409, BEARBERRY,
3410, BILBERRY,
3411, BLACKBERRY,
3412, BLUEBERRY (HIGHBUSH AND LOWBUSH),
3413, BUFFALO CURRANT,
3414, BUFFALOBERRY,
3415, CHILEAN GUAVA,
3416, CHOKECHERRY,
3417, CLOUDBERRY,
3418, ELDERBERRY,
3419, EUROPEAN BARBERRY,
3420, GOOSEBERRY,
3421, HIGHBUSH CRANBERRY,
3422, HUCKLEBERRY,
3423, JOSTABERRY,
3424, JUNEBERRY,
3425, KIWI,
3426, LINGONBERRY,
3427, LOGANBERRY,
3428, MAYPOP,
3429, MOUNTAIN PEPPER BERRIES,
3430, MULBERRY,
3431, MUNTRIES,
3432, NATIVE CURRANT,
3433, PARTRIDGEBERRY,
3434, PINCHERRY,
3435, RASPBERRY,
3436, RIBERRY,
3437, SCHISANDRA BERRY,
3438, SEA BUCKTHORN,
3439, SERVICEBERRY,
3440, STRAWBERRY,
3441, WILD RASPBERRIES,
3442, AND/OR HYBRIDS OF THESE,
3443, CHERRY (SWEET),
3444, CHERRY (TART),
3445, NECTARINE,
3446, PEACH,
3447, PLUM,
3448, AND PLUMCOT.,
3449, BEET,
3450, BURDOCK,
3451, CANNA,
3452, CHUFA,
3453, DASHEEN,
3454,OPTIMUM GAT SOYBEANS,
3455,SHORT ROTATION INTENSIVE CULTURE CROPS,
3456,ARBORVITAE (THUJA SPP.),
3457,CHRISTMAS TREE PLANTINGS,
3458,FLOWERING CRABAPPLE (MALUS SPP.),
3459,LOGANBERRY,
3460,RASPBERRIES (RED),
3461,WOODLAND TREE PLANTINGS,
3462,YEWS (TAXUS SPP.),
3463,APPLES (NON BEARING),
3464,BOXELDER MAPLE,
3465,CEDAR (ARBOR VITAE),
3466,CEDAR (THUJA SPP.),
3467,WOODY ORNEMENTALS,
3468,FALL-SEEDED RYE,
3469,SPRING-SEEDED RYE,
3470,PEPPERMINT CROPS,
3471,SPEARMINT CROPS,
3472,CLEARFIELD LENTILS (1-9 NODE STAGE),
3473,CLEARFIELD SUNFLOWERS (2 TO 8 TRUE LEAF STAGE),
3474,IMIDAZOLINONE-TOLERANT CHICKPEAS,
3475,SOYBEANS (COTYLEDON TO 4-LEAF STAGE),
3476,ABELIA (ABELIA GRANDIFLORA),
3477,ALMOND (PRUNUS SP.),
3478,APPLE MALUS DOMESTICA HARALRED (NON-BEARING),
3479,APPLE MALUS SP. (NON-BEARING),
3480,APRICOT PRUNUS SP.,
3481,ARBORVITAE THUJA OCCIDENTALIS GREEN GIANT,
3482,ARBORVITAE THUJA OCCIDENTALIS NIGRA,
3483,ARBORVITAE THUJA OCCIDENTALIS TECHNY,
3484,ASPARAGUS FERN ASPARAGUS PLUMOSUS,
3485,ASPEN,
3486, QUAKING POPULUS TREMULOIDES,
3487,AZALEA RHODODENDRON SP. FASHION,
3488,AZALEA RHODODENDRON SP. GIRARDS ROSE,
3489,AZALEA RHODODENDRON SP. GOLDEN TORCH,
3490,AZALEA RHODODENDRON SP. VF 14,
3491, ENCORE RHODODENDRON SP. AUTUMN DEBUTANTE,
3492,BALD CYPRESS TAXODIUM DISTICHUM,
3493,BAMBOO,
3494, GOLDEN PHYLLOSTACHYS AUREA,
3495,BARBERRY BERBERIS SP.,
3496,BEECH FAGUS SP.,
3497,BIRCH CARPINUS SP.,
3498,BIRCH CORYLUS SP.,
3499, BLACK BETULA LENTA,
3500, GRAY BETULA POPULIFOLIA WHITESPIRE,
3501, RIVER BETULA NIGRA HERITAGE,
3502,BLACK TUPELO NYSSA SYLVATICA WILD FIRE,
3503,BLUEBIRD CARYOPTERIS X CLANDONENSIS DARK KNIGHT,
3504,BOXWOOD BUXUS MICROPHYLLA BABY GEM,
3505,BOXWOOD BUXUS MICROPHYLLA CHICAGOLAND GREEN,
3506,BOXWOOD BUXUS MICROPHYLLA WINTERGREEN,
3507,BUTTERFLY BUSH BUDDLEIA SP. NANHO BLUE,
3508, JAPANESE CAMELLIA JAPONICA MARGARET HEATHCLIFF PINK,
3509, LITTLE LEAF CAMELLIA SASANQUA CLEOPATRA PINK,
3510,CATALPA,
3511, SOUTHERN CATALPA BIGNONIACEAE,
3512, ATLANTIC WHITE CHAMAECYPARIS SP.,
3513, EASTERN RED JUNIPERUS VIRGINIANA,
3514, JAPANESE CRYPTOMERIA JAPONICA BLACK DRAGON,
3515, JAPANESE CRYPTOMERIA JAPONICA BURKII,
3516, JAPANESE CRYPTOMERIA JAPONICA YOSHINO,
3517,CHERRY PRUNUS SP. (NON-BEARING),
3518, AMERICAN PLUM PRUNUS AMERICANA,
3519, JAPANESE PRUNUS SERRULATA KWANZAN,
3520, LAUREL PRUNUS CAROLINIANA,
3521, OKAME PRUNUS X INCAMP,
3522, PURPLE LEAF SAND PRUNUS CISTENA,
3523, SARGENT PRUNUS SARGENTII SPRING WONDER,
3524, YOSHINO PRUNUS X YEDOENSIS YOSHINO,
3525,CHESTNUT CASTANEA SP.,
3526,CHOKEBERRY ARONIA SP.,
3527,COTONEASTER COTONEASTER DAMMERI CORAL BEAUTY,
3528,COTONEASTER COTONEASTER SP.,
3529,COTTONWOOD POPULUS DELTOIDES SIOUX,
3530,CRABAPPLE MALUS CORONARIA,
3531,CRABAPPLE MALUS X `HARVEST GOLD,
3532,CRABAPPLE MALUS X `SNOWDRIFT,
3533,CRAPE MYRTLE LAGERSTROEMIA INDICA TUSCARORA,
3534,CRAPE MYRTLE LAGERSTROEMIA INDICA X,
3535,BLACK HAWTHORN CRATAEGUS DOUGLASII,
3536,BLEEDING HEART VINE CLERODENDRUM THOMSONIAE BLEEDING HEART,
3537, CRIMSON CALLESTEMON CITRINUS,
3538,BOUGAINVILLEA BOUGAINVILLEA SP. BARBARA KARST,
3539,BOUGAINVILLEA BOUGAINVILLEA SP. DOUBLE RED,
3540,BOXWOOD BUXUS MICROPHYLLA GREEN BEAUTY,
3541, ATLANTIC WHITE CHAMAECYPARIS THYOIDES,
3542, EASTERN RED JUNIPERUS VIRGINIANA IDYLLWILD,
3543,CHASTE TREE VITEX AGNUS-CASTUS ABBEVILLE BLUE,
3544,CRAPE MYRTLE BURGUNDY COTTON,
3545,CRAPE MYRTLE LAGERSTROEMIA INDICA,
3546,CRAPE MYRTLE LAGERSTROEMIA INDICA X FAURIEI,
3547,CRAPE MYRTLE LAGERSTROEMIA X `MIAMI,
3548,CRAPE MYRTLE MUSKOGEE,
3549,CRAPE MYRTLE NATCHEZ,
3550,CRAPE MYRTLE POCOMOKE PINK,
3551,CRAPE MYRTLE ROSE RED,
3552,CRAPE MYRTLE SARAHS FAVOURITE,
3553,CRAPE MYRTLE SIREN RED,
3554,CRAPE MYRTLE TUSCARORA,
3555, FALSE CHAMAECYPARIS SP. GOLD MOPS,
3556, FALSE CHAMAECYPARIS SP. GOLD THREAD,
3557, LEYLAND CUPRESSUS X LEYLANDII,
3558, MEDITERRANEAN CUPRESSUS SEMPERVIRENS,
3559,DAPHNE DAPHNE CAUCASICA SUMMER ICE,
3560,DEUTZIA DEUTZIA GRACILIS NIKKO,
3561, KOUSA CORNUS KOUSA KOUSA,
3562,FLORIDA PIPESTEM LEUCOTHOE POPULIFOLIA,
3563,FORSYTHIA FORSYTHIA SP. GOLDEN BELL,
3564,FORSYTHIA FORSYTHIA SP. LYNWOOD GOLD,
3565,GARDENIA GARDENIA JASMINOIDES FROSTPROOF,
3566,GARDENIA GARDENIA J,
3567,CHEWINGS FESCUE (ESTABLISHED),
3568,CHEWINGS FESCUE (SEEDLING),
3569,HARD FESCUE (ESTABLISHED),
3570,HARD FESCUE (SEEDLING),
3571,PERENNIAL RYE GRASS (ESTABLISHED),
3572,PERENNIAL RYE GRASS (SEEDLING),
3573,APPLES BEARING / NON-BEARING,
3574,GRASS PASTURE / RANGELAND,
3575, THEIR HYBRIDS NEW / ESTABLISHED SHORT ROTATION INTENSIVE CULTURE,
3576,TALL WH,
3577,ESTABLISHED TIMOTHY HAY / FORAGE,
3578,ESTABLISHED TIMOTHY SEED PRODUCTION,
3579,CARROTS PROCESSING,
3580,NEWLY PLANTED HIGHBUSH BLUEBERRIES,
3581,ASIAN RADISH,
3582,DRY COMMON BEANS PHASEOLUS VULGARIS SPECIES ONLY,
3583,EGGPLANT TRANSPLANTS,
3584,FIELD TOMATOES  FRESH MARKET,
3585,FIELD TOMATOES PROCESSING,
3586,MUSTARD GREENS  TRANSPLANTED,
3587,PARSNIPS,
3588,POPLAR SEEDBEDS,
3589,RED BEATS,
3590,SNAP COMMON BEANS GREEN,
3591,SNAP COMMON BEANS YELLOW,
3592,DRY COMMON BEANS (PHASEOLUS VULGARIS SPECIES),
3593,FIELD TOMATOES FRESH MARKET OR PROCESSING,
3594,GREEN SNAP COMMON BEANS,
3595,TOMATOES GROWN FOR PROCESSING,
3596,TRANSPLANTED TOMATOES GROWN FOR PROCESSING,
3597,YELLOW SNAP COMMON BEANS,
3598,INDUSTRIAL AND OTHER NON-CROP AREAS OF CANADA,
3599,MINIMUM OR ZERO TILL CROPPING SYSTEMS IN WHEAT,WHEAT
3600, BARLEY,BARLEY
3601, OATS,
3602,BROMEGRASS (HYBRID,
3603, MEADOW,
3604, SMOOTH),
3605,FESCUES,
3606,IMPROVED PASTURES CONTAINING ONLY FORAGE GRASSES.,
3607,REDTOP,
3608,REED CANARYGRASS,
3609,RYEGRASSES,
3610,SEEDLING AND ESTABLISHED BROMEGRASSES (HYBRID,
3611,WHEATGRASSES,WHEAT
3612,CABBAGE (TRANSPLANTS ONLY),
3613,ENGLISH WALNUT,
3614,TOMATO (TRANSPLANTS ONLY),
3615,APRICOT PRUNUS SPP. NON-BEARING,
3616,AROUND BUILDINGS OR OTHER STRUCTURES,
3617,BARE GROUND AROUND FARM BUILDINGS / ALONG FENCE ROWS,
3618,CHERRY PRUNUS SPP. NON-BEARING,
3619,CHESTNUT CASTANEA SPP.,
3620,DOGWOOD CORNUS SSPP.,
3621,GINKGO GINKGO SPP.,
3622,GRAVEL SURFACES / DRIVEWAYS,
3623,NON BEARING FRUIT TREES,
3624,NON BEARING NUT TREES,
3625,ORNAMENTAL CONIFEROUS TREES,
3626,ORNAMENTAL DECIDUOUS TREES,
3627,PEACH PRUNUS SPP. NON-BEARING,
3628,PECAN CARYA SPP. NON-BEARING,
3629, AUSTRIAN PINUS NIGRA,
3630, EASTERN WHITE PINUS STROBUS,
3631, JACK PINUS BANKSIANA,
3632, LODGEPOLE PINUS CONTORTA,
3633, MUGO PINUS MUGO,
3634, PONDEROSA PINUS PONDEROSA,
3635, SCOTCH PINUS SYLVESTRIS,
3636,PLUM PRUNUS SPP. NON-BEARING,
3637,POPLAR PRODUCED FOR SHORT-ROTATION-INTENSIVE-CULTURE,
3638,REDBUD CERCIS CANADENSIS,
3639,ROAD SURFACES / GRAVEL SHOULDERS,
3640, DWARF ALBERTA PICEA GLAUCA CONICA,
3641, NORWAY PICEA ABIES,
3642, SITKA PICEA SITCHENSIS,
3643,SWEETGUM LIQUIDAMBAR STYRACIFLUA,
3644,SYCAMORE PLATANUS SPP.,
